2023-12-29 15:38:25.811 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\006050.001\B45822-001.dxf' | DocumentId: 13F6C9DA8A1640888105E9B30A533124
2023-12-29 15:38:25.811 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\006076.002\C74499-001.dxf, NewEmptyFolder.txt' | DocumentId: 0CE2AEF0A2514263930C9A9A1A12EE0A
2023-12-29 15:38:25.811 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\006751.026\73707G1, 73707G2, 73707G3' | DocumentId: A2153E54209A419AB1FBA515BDA59E57
2023-12-29 15:38:25.811 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\006769.023\D73707 A6 HOLD DOWN ROLL.xls' | DocumentId: A802A2C5719B4DE5AA66D776F91A40A6
2023-12-29 15:38:25.819 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\007196.003\735061' | DocumentId: FDF95206E54343F5937040F5245CE1D7
2023-12-29 15:38:25.829 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\007200.004\D73506 REV B OP 1 @ H2.XLS' | DocumentId: 6C3D5BA9F4914AF5B6CCD77819535114
2023-12-29 15:38:25.829 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\007315.001\55689G1' | DocumentId: B8780543A1934B6FA1D1AC3667CC8FE9
2023-12-29 15:38:25.829 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\007323.000\D55689 REV A OP1 @ H2.XLS' | DocumentId: B44B189A02BE44BF8CCAF5339153380D
2023-12-29 15:38:25.830 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\008311.013\MADL008311D.xls' | DocumentId: CA7957BEF98D4452BB5A5C919791DF37
2023-12-29 15:38:25.830 +05:30 [Error] File does not exist at 'D:\WorkSpace\NicolsonMigration\NICFilemetaData\Sidney2\Aidlib\009016.000\674131, 674132' | DocumentId: 9366B7B63E40414E9CC782217F3A0C22
